section id,recording id,timestamp [ns],p1 x [px],p1 y [px],p2 x [px],p2 y [px],eye left x [px],eye left y [px],eye right x [px],eye right y [px],nose x [px],nose y [px],mouth left x [px],mouth left y [px],mouth right x [px],mouth right y [px]
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490069874480,616.0,0.0,724.0,83.0,656.415,12.008,700.137,25.966,671.85,47.04,643.051,52.985,675.07,64.252
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490086618924,616.0,0.0,724.0,84.0,656.324,12.865,700.123,26.335,672.147,47.786,643.809,53.785,675.782,64.672
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490116607813,616.0,0.0,725.0,82.0,656.39,12.49,700.417,26.697,671.763,47.499,643.845,52.954,675.351,64.322
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490146596702,617.0,0.0,727.0,82.0,655.56,13.938,701.86,27.369,671.793,49.483,644.671,54.99,676.971,65.64
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490182507813,619.0,0.0,728.0,84.0,658.096,14.869,703.113,28.262,673.468,50.182,645.999,57.347,676.701,68.012
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490221652257,620.0,0.0,728.0,88.0,660.473,15.398,705.287,27.613,677.197,50.781,649.171,60.301,679.833,70.158
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490255963368,617.0,0.0,736.0,95.0,661.072,13.53,707.308,27.731,676.565,49.851,646.442,59.683,679.036,71.01
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490292241146,622.0,0.0,729.0,91.0,661.765,17.0,706.742,28.91,679.236,52.628,651.185,62.713,682.454,72.376
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490324507813,617.0,0.0,735.0,97.0,659.598,13.989,706.148,28.387,675.916,50.819,647.703,62.676,679.602,73.953
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490355463368,617.0,0.0,735.0,97.0,660.463,14.492,705.807,29.422,675.833,50.744,647.309,61.931,678.752,73.689
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490391052257,622.0,0.0,729.0,89.0,660.244,16.233,705.501,30.49,675.957,52.915,649.456,61.632,680.125,72.969
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490422496702,623.0,0.0,730.0,90.0,660.539,17.342,706.322,31.664,676.707,53.208,650.362,61.97,681.925,73.243
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490457085591,621.0,0.0,729.0,95.0,659.463,21.541,706.054,35.657,676.071,58.402,648.682,67.117,681.062,78.278
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490491330035,622.0,0.0,730.0,97.0,660.902,24.136,707.091,37.978,677.521,60.708,650.038,69.706,681.675,80.684
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490522674480,624.0,0.0,731.0,101.0,663.43,28.819,708.251,41.092,680.09,64.461,652.346,73.066,684.683,82.893
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490555252257,622.0,0.0,740.0,112.0,663.789,30.593,711.319,45.529,681.202,67.944,653.188,76.723,687.151,88.353
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490593841146,624.0,0.0,741.0,121.0,666.671,35.432,714.009,51.746,683.231,73.898,655.918,85.056,689.217,97.212
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490622018924,628.0,0.0,745.0,128.0,669.207,41.829,717.25,60.333,684.592,80.379,656.476,90.918,690.674,105.225
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490655018924,635.0,10.0,743.0,126.0,671.215,52.142,718.24,68.492,686.331,90.659,659.983,97.953,692.154,110.648
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490691952257,637.0,18.0,747.0,133.0,673.169,60.321,719.962,77.399,686.792,98.397,661.019,105.368,692.623,118.572
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490691952257,143.0,0.0,246.0,72.0,191.896,-5.025,234.867,0.274,221.783,24.085,186.413,38.562,222.447,43.572
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490723874480,640.0,28.0,747.0,143.0,675.25,72.217,721.516,88.282,689.498,110.377,663.511,116.279,695.799,128.747
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490723874480,142.0,0.0,259.0,86.0,198.469,2.264,244.872,2.331,231.089,33.629,195.01,51.532,232.47,52.185
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490757196702,644.0,44.0,750.0,162.0,681.19,89.189,725.653,104.039,696.083,126.697,670.092,134.564,700.227,146.3
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490757196702,151.0,0.0,269.0,100.0,209.739,18.032,253.327,20.806,239.907,49.631,202.076,65.927,237.07,69.107
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490794241146,649.0,62.0,755.0,180.0,689.474,105.476,733.815,120.397,706.104,140.427,677.128,147.383,711.316,159.321
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490794241146,158.0,0.0,272.0,118.0,215.593,35.097,258.591,41.679,245.452,67.584,205.477,81.361,240.977,87.74
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490822474480,656.0,77.0,760.0,195.0,693.803,121.4,737.021,136.642,708.853,157.811,681.986,164.654,713.287,176.723
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490822474480,166.0,0.0,281.0,135.0,223.146,54.782,268.502,56.47,255.159,85.825,216.401,101.997,252.857,104.638
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490849230035,662.0,94.0,765.0,214.0,699.076,137.437,741.097,153.945,712.778,173.703,686.569,180.214,718.588,193.52
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490849230035,179.0,7.0,292.0,154.0,234.479,72.455,276.996,74.2,265.045,103.825,228.218,119.75,262.547,122.227
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490894230035,667.0,114.0,772.0,234.0,704.963,156.649,749.869,171.567,721.708,191.624,694.048,200.571,728.429,212.648
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490894230035,189.0,34.0,301.0,177.0,243.762,95.323,288.113,99.905,274.437,125.693,237.019,141.523,275.164,146.017
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490920418924,677.0,135.0,780.0,254.0,714.861,178.315,757.172,193.949,729.578,213.583,703.547,221.865,734.03,234.198
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490920418924,201.0,50.0,311.0,197.0,255.821,115.438,297.173,117.848,285.697,146.677,248.4,161.85,281.97,164.864
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490952585591,685.0,151.0,788.0,270.0,721.98,196.166,765.437,210.33,738.185,231.325,711.685,239.472,744.014,250.816
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490952585591,213.0,73.0,323.0,215.0,269.616,133.811,310.864,138.579,299.1,163.421,262.109,178.445,298.375,183.269
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490983641146,694.0,170.0,798.0,286.0,734.918,213.48,777.545,229.062,750.627,247.432,721.845,253.865,754.752,266.38
