section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1,1655295490121020480,1655295490909057480,788,582.39,681.601
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,2,1655295490897099480,1655295491961069480,1063,620.471,861.59
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,3,1655295492040995480,1655295492208980480,167,767.535,831.596
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,4,1655295492217057480,1655295492337066480,120,689.599,814.206
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,5,1655295492461009480,1655295492789003480,327,622.607,716.275
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,6,1655295493377042480,1655295493537018480,159,625.216,501.685
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,7,1655295494241039480,1655295494685022480,443,518.741,373.067
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,8,1655295495261027480,1655295495353073480,92,499.534,724.474
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,9,1655295495785026480,1655295496065016480,279,539.196,713.362
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,10,1655295496309094480,1655295496517077480,207,539.676,513.392
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,11,1655295496545017480,1655295496617058480,72,569.272,424.928
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,12,1655295497125056480,1655295497225081480,100,633.811,242.992
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,13,1655295497261094480,1655295497553100480,292,556.234,260.518
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,14,1655295497761034480,1655295497993069480,232,586.281,256.4
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,15,1655295498304999480,1655295498433069480,128,623.497,426.413
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,16,1655295498753012480,1655295499129152480,376,533.205,280.149
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,17,1655295499373078480,1655295499449021480,75,527.503,239.322
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,18,1655295499881020480,1655295499957169480,76,594.74,463.387
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,19,1655295499977034480,1655295500221069480,244,548.324,454.082
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,20,1655295500249019480,1655295500477021480,228,574.334,426.719
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,21,1655295500757066480,1655295500913001480,155,541.122,362.682
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,22,1655295501125040480,1655295501241011480,115,837.885,347.921
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,23,1655295501289088480,1655295502213053480,923,876.384,204.444
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,24,1655295503013084480,1655295503189017480,175,795.234,539.735
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,25,1655295503493179480,1655295503561065480,67,510.978,522.586
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,26,1655295503577086480,1655295503665045480,87,560.406,498.933
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,27,1655295503685075480,1655295504181040480,495,589.561,451.565
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,28,1655295504605016480,1655295504745034480,140,614.68,367.558
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,29,1655295504885081480,1655295505272974480,387,667.894,477.8
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,30,1655295505456967480,1655295506116994480,660,773.237,212.152
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,31,1655295506761011480,1655295506901070480,140,643.154,390.517
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,32,1655295506905106480,1655295506989026480,83,610.494,426.131
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,33,1655295507148994480,1655295507437045480,288,624.485,448.243
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,34,1655295507597048480,1655295507865053480,268,641.978,387.686
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,35,1655295508097058480,1655295508213040480,115,540.976,362.297
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,36,1655295508285049480,1655295508653014480,367,494.124,377.842
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,37,1655295508813029480,1655295509113039480,300,512.984,343.749
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,38,1655295509381021480,1655295509657020480,275,533.243,353.186
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,39,1655295509813004480,1655295509885004480,72,573.213,321.504
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,40,1655295509904968480,1655295510097110480,192,522.85,333.073
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,41,1655295510533018480,1655295510789009480,255,256.714,258.702
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,42,1655295510945100480,1655295511281057480,335,271.444,168.303
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,43,1655295511725015480,1655295511965032480,240,703.593,321.651
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,44,1655295512433009480,1655295512500967480,67,476.883,374.154
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,45,1655295512788992480,1655295512953231480,164,842.648,262.127
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,46,1655295512957044480,1655295513669173480,712,807.203,196.1
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,47,1655295513989039480,1655295514245064480,256,841.73,155.658
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,48,1655295514421037480,1655295514713191480,292,850.258,167.645
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,49,1655295515117053480,1655295515229211480,112,634.496,391.061
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,50,1655295515377039480,1655295515777087480,400,767.573,554.447
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,51,1655295516033021480,1655295516325234480,292,650.721,348.835
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,52,1655295516337066480,1655295516553054480,215,625.022,328.488
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,53,1655295516937054480,1655295517433031480,495,623.841,283.509
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,54,1655295517617051480,1655295517913057480,296,525.15,291.502
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,55,1655295518400950480,1655295518949088480,548,645.014,310.304
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,56,1655295519141069480,1655295519585034480,443,715.53,249.908
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,57,1655295519824993480,1655295520673066480,848,604.915,161.307
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,58,1655295521097039480,1655295521229075480,132,545.294,359.82
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,59,1655295521257068480,1655295521617069480,360,570.829,455.108
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,60,1655295521785029480,1655295521961102480,176,588.795,276.12
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,61,1655295521981029480,1655295522265045480,284,563.447,255.582
