section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490121020480,595.282,658.754,1.0,1,,-9.551427023269254,3.8783664346965123
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490128997480,591.605,656.799,1.0,1,,-9.405796674554395,3.5987857454290535
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490132980480,591.195,656.812,1.0,1,,-9.406909718188793,3.5677311262437894
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490136994480,591.372,656.728,1.0,1,,-9.400525380682742,3.5811457794897734
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490141035480,591.162,656.709,1.0,1,,-9.399152924937253,3.565219476197413
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490149022480,586.088,656.943,1.0,1,,-9.418051144506112,3.180959188302749
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490153064480,585.653,657.152,1.0,1,,-9.433775822099852,3.148140132073265
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490157063480,585.169,657.351,1.0,1,,-9.448843343632703,3.111551991184242
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490161023480,584.987,657.385,1.0,1,,-9.451445939813437,3.097821657158303
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490168986480,584.721,656.211,1.0,1,,-9.363461609201877,3.0771487642032542
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490172929480,583.18,655.014,1.0,1,,-9.273940391825294,2.9599499839721797
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490176984480,583.427,654.707,1.0,1,,-9.250858713904613,2.9785184819102133
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490180990480,581.194,654.584,1.0,1,,-9.24211715020832,2.8093775251247
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490188998480,580.724,654.374,1.0,1,,-9.226428300270197,2.7736641334857963
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490192982480,581.074,654.056,1.0,1,,-9.20253942816079,2.800087499659534
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490197003480,581.374,652.946,1.0,1,,-9.11919971424254,2.8223344245194806
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490200949480,581.748,650.998,1.0,1,,-8.972894416885397,2.849934076420212
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490208961480,582.42,649.901,1.0,1,,-8.890481684399173,2.9003349777565357
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490213089480,582.766,649.794,1.0,1,,-8.882335057052018,2.926462150011359
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490217022480,583.069,647.919,1.0,1,,-8.741579811184772,2.948719475275851
